video_id,title,published_at,view_count,like_count,comment_count,duration,hours,minutes,seconds,podcast,total_seconds,duration_minutes,is_short_strict
zt5uqErQysk,The $4 Trillion GDP Is a Lie? | Why Our $4 Trillion GDP is Actually Only $2.5 Trillion | IBP,2025-10-01T12:31:17Z,451185,11351,1475,PT1H28M4S,1,28,4,Yes,5284,88.06666666666666,False
ockrdZal5fA,@OpenAI VP on How AI Will Redefine Work ft. Srinivas Narayanan | IBP EP37,2025-07-31T14:30:39Z,280004,4525,226,PT1H1M9S,1,1,9,Yes,3669,61.15,False
gLeMTK3PeC8,10X Your BUSINESS and Build POWERFUL Career: Kunal Shah’s UNFILTERED Business MASTERCLASS | IBP EP36,2025-07-26T12:40:02Z,335307,7218,365,PT1H32M15S,1,32,15,Yes,5535,92.25,False
i_Y-yBW7kCU,Dark Truth of Gurgaon Real Estate Ft. Vishal Bhargava | IBP EP35,2025-07-21T12:30:50Z,499452,7148,1113,PT2H1M37S,2,1,37,Yes,7297,121.61666666666666,False
xwFgddaaBXs,Ex-Facebook & Uber Heads Reveal 9 SIMPLE HABITS to EARN ₹50 Lakh/Year | IBP EP34,2025-07-11T12:45:07Z,305185,6062,197,PT1H56M18S,1,56,18,Yes,6978,116.3,False
M173e445SxY,"@MarkRober on NASA, Apple & How to Go Viral on YouTube? | IBP EP33",2025-06-25T14:30:14Z,124295,3391,166,PT2H6M23S,2,6,23,Yes,7583,126.38333333333334,False
qnEXkNUaAcI,"Harsh Truth About Degrees, Placements & Indian Students : Pratham Mittal | IBP EP30",2025-06-07T11:45:11Z,195968,4417,371,PT2H50M17S,2,50,17,Yes,10217,170.28333333333333,False
xqSmbDTS-sY,FREE MBA on Indian Retail: Big Bazaar’s Shocking Fall Explained by Its Founder | IBP EP31,2025-06-02T14:32:29Z,285974,4758,413,PT2H3M37S,2,3,37,Yes,7417,123.61666666666666,False
Rt7qxyDzc_Y,Ultimate AI Masterclass for Founders and Executives 💰| Vaibhav Sisinty | IBP EP28,2025-04-05T14:00:07Z,921569,23322,871,PT1H40M40S,1,40,40,Yes,6040,100.66666666666669,False
gPO3mRmSzH0,The shocking Solar Goldmine that is Making India an Energy Superpower? : Solar Square | IBP EP 23,2025-01-17T14:30:08Z,867058,12558,1285,PT1H23M18S,1,23,18,Yes,4998,83.3,False
Ih-nBopdJz4,From Naukri.com to Unicorns: Sanjeev Bikhchandani’s Entrepreneurial Secrets? | IBP EP22,2025-01-07T15:01:29Z,281782,5415,173,PT1H33M7S,1,33,7,Yes,5587,93.11666666666666,False
f82RH6mBquc,How @TechBurneraims to go against the Giants in the market? ft. Shlok & my brother Neel | IBP EP20,2024-11-21T14:44:21Z,505916,10629,1198,PT2H31M18S,2,31,18,Yes,9078,151.3,False
iH8IrBG4csM,Boult's SHOCKING Move to Dominate the Wearables Market! | IBP EP16,2024-10-03T13:28:25Z,1135346,14138,663,PT1H48M41S,1,48,41,Yes,6521,108.68333333333334,False
hDSn3PuInac,How to make 1cr/year by selling Vadapav and Burgers? | IBP Ep 15,2024-09-26T14:15:27Z,545821,8222,560,PT2H34M37S,2,34,37,Yes,9277,154.61666666666667,False
n5ipHOFj-Hw,The Surprising Reason VEEBA is Conquering the Indian Food Market? | IBP EP14,2024-09-15T12:30:08Z,761910,11305,563,PT2H8M34S,2,8,34,Yes,7714,128.56666666666666,False
1kOEONLz5xA,How to build a Real Estate Empire? : Niranjan Hiranandani Reveals Secrets & Strategies | IBP EP 10,2024-06-11T14:00:07Z,641960,11366,448,PT1H12M42S,1,12,42,Yes,4362,72.7,False
