video_id,title,published_at,view_count,like_count,comment_count,duration,hours,minutes,seconds,podcast,total_seconds,duration_minutes,is_short_strict
fP7jNb4hT8M,"Smart Founders Don’t Fear AI, They Partner It!",2025-11-23T15:04:55Z,23500,847,4,PT1M14S,0,1,14,No,74,1.2333333333333334,False
H088ypbYuDw,100x Your Brand in 60 Minutes with These PROVEN Tactics,2025-11-21T13:42:00Z,120903,2411,132,PT1H20M26S,1,20,26,No,4826,80.43333333333334,False
wO1eJMRMvyE,From ₹0 to ₹1500 CR: The Mensa Playbook!,2025-11-21T13:31:11Z,50437,1464,27,PT2M13S,0,2,13,No,133,2.216666666666667,False
WU1441n9Ev0,Insight-driven brands always win in India!,2025-11-16T06:30:14Z,67227,1130,10,PT1M5S,0,1,5,No,65,1.0833333333333333,False
jBEOdMKAkEU,BYD vs Tesla: How CHINA Beat ELON MUSK at His Own Game| Business Case Study,2025-11-11T13:02:48Z,641442,16666,742,PT22M33S,0,22,33,No,1353,22.55,False
CaoAr02C3pI,"Repeat value, not volume!",2025-11-10T05:45:19Z,33190,930,7,PT1M7S,0,1,7,No,67,1.1166666666666667,False
U1uF-c0zmr8,The REAL Reason Familiar Taste Beats Fancy Flavors Always,2025-11-09T06:59:23Z,488090,10855,36,PT1M12S,0,1,12,No,72,1.2,False
16p88Rrrckc,Health isn’t punishment. It’s portion control.,2025-11-08T08:00:02Z,32125,712,12,PT1M7S,0,1,7,No,67,1.1166666666666667,False
rE5yGaXVH84,One recipe can’t win all of India!,2025-11-07T09:38:27Z,61560,1143,10,PT1M12S,0,1,12,No,72,1.2,False
G8UK7WcdF1Y,Super You's EPIC ₹100 Crore Blueprint: INSANE Marketing SECRETS Nobody Talks About! IBP 46,2025-11-04T15:15:37Z,138936,2359,122,PT1H37M52S,1,37,52,No,5872,97.86666666666666,False
sVlJveU54Bs,How Super You became a ₹100 Cr story?,2025-11-04T15:15:14Z,69626,2071,33,PT1M50S,0,1,50,No,110,1.8333333333333333,False
Ib1E-rneIEk,India’s next revolution runs on sunlight.,2025-10-30T04:30:10Z,51777,1475,15,PT1M24S,0,1,24,No,84,1.4,False
MOy2QiG4yMg,India's DEEP Power Crisis Explained,2025-10-29T16:00:41Z,186148,4020,56,PT1M21S,0,1,21,No,81,1.35,False
Ho7yc-gDcd0,Ambani & Adani's AI Data Centres Spark India's Growing WATER SCARCITY,2025-10-29T15:25:28Z,449018,15384,1214,PT15M45S,0,15,45,No,945,15.75,False
WbA0k9ZiLE0,India mines coal and buys it too?!,2025-10-28T19:30:06Z,52613,1266,17,PT1M2S,0,1,2,No,62,1.0333333333333334,False
wP6nHR7cI58,Apple is Failing ? : The TRUTH Apple Doesn’t Want You to Know | Business Case study,2025-10-27T15:13:41Z,458392,13396,594,PT16M48S,0,16,48,No,1008,16.8,False
C_Wk44s2TWY,India’s Dirty Secret: How is the Power Crisis Paralysing India? How to fix it?,2025-10-22T15:55:01Z,263364,4621,351,PT1H42M7S,1,42,7,No,6127,102.11666666666666,False
QSm9xVdn9AY,What if India’s ₹8 Lakh Crore power problem is next biggest business opportunity?,2025-10-22T08:30:12Z,139091,3893,72,PT2M14S,0,2,14,No,134,2.2333333333333334,False
6qprafmrYJA,Which flavour screams India: Kacha Aam or Jeera?,2025-10-19T14:00:11Z,232266,4035,19,PT1M1S,0,1,1,No,61,1.0166666666666666,False
dBFtJUYk-w8,TATA MOTORS DEMERGER :Genius or Blunder? | Business Case study,2025-10-17T14:45:07Z,592433,19029,389,PT20M42S,0,20,42,No,1242,20.7,False
6IFLWZ3KtoA,Can Lahori Jeera’s strategy Beat Ambani’s Campa Cola? ₹10 War Explained : IBP Case Study,2025-10-09T13:12:20Z,263913,3920,280,PT1H28M45S,1,28,45,No,5325,88.75,False
kDGCTQsIj2E,"MSP isn't the problem, India's use of it is",2025-10-08T13:01:26Z,137996,2870,58,PT1M43S,0,1,43,No,103,1.7166666666666666,False
NM_Icq_Vpyc,How ₹10 drink made ₹525 cr Empire! #cocacola #scam #startup #investing,2025-10-08T10:45:01Z,139212,3283,28,PT1M30S,0,1,30,No,90,1.5,False
mLf3KYTkGuA,How America Funds Wars to make Money? America's dirty strategy Exposed | Geopolitical case study,2025-10-04T13:30:46Z,546359,18597,620,PT20M9S,0,20,9,No,1209,20.15,False
tlj7hMWj0vI,India’s black economy isn’t accidental!,2025-10-04T13:15:33Z,272850,6175,89,PT1M7S,0,1,7,No,67,1.1166666666666667,False
5zRFMIAHeLs,Is India's DEMONETIZATION WAR on Black Money Working?,2025-10-02T10:25:02Z,670449,12941,123,PT1M23S,0,1,23,No,83,1.3833333333333333,False
du7Auc_qprE,Is BJP doing a good job?,2025-10-01T09:02:07Z,159907,5559,130,PT1M49S,0,1,49,No,109,1.8166666666666669,False
K7FwtWVa8ds,3 Crore a bed vs 70 Lakh a bed!,2025-09-28T04:30:13Z,270886,6430,56,PT1M30S,0,1,30,No,90,1.5,False
tz2ujCvDRRg,No More Waiting for hours in hospital!,2025-09-27T15:08:06Z,52957,1279,12,PT1M15S,0,1,15,No,75,1.25,False
br2Tbn11DjY,Magic Hospital ❤️,2025-09-26T15:15:36Z,149712,2984,30,PT1M16S,0,1,16,No,76,1.2666666666666666,False
XaG2QNfiPnk,God Complex: Elon Musk vs Sam Altman and the AI Battle,2025-09-25T04:49:53Z,461850,17483,633,PT19M3S,0,19,3,No,1143,19.05,False
Lhc_NfG54PA,India's Health Crisis : How to Fix India's BROKEN healthcare system? | Ex Apollo Reveals Secrets,2025-09-18T15:43:40Z,354787,9313,751,PT1H54M54S,1,54,54,No,6894,114.9,False
Jgi9zztt758,Shocking reality of Indian Healthcare,2025-09-15T08:30:08Z,51546,1714,28,PT1M49S,0,1,49,No,109,1.8166666666666669,False
4WYJHSeBGOs,Is Navi Mumbai the future of urban living?,2025-09-14T06:30:03Z,127515,3315,27,PT1M2S,0,1,2,No,62,1.0333333333333334,False
ieyzFXJk4e8,Dictator vs Democracy: The rise of Xi Jinping and China? Explained,2025-09-13T08:30:24Z,621402,17754,1358,PT23M25S,0,23,25,No,1405,23.416666666666668,False
0ieqe41jOEA,The Real TRUTH About E20 Petrol | Full POLICY EXPLAINED,2025-09-07T10:30:02Z,848722,29234,3732,PT17M50S,0,17,50,No,1070,17.833333333333332,False
IiLmHwfx6e4,UltraRich Broker Spills secrets on Mumbai Real Estate? | ft. @rk.ravikewalramani Business Podcast,2025-09-05T12:30:33Z,259978,3764,364,PT1H45M46S,1,45,46,No,6346,105.76666666666668,False
ZqIk_TSrsNs,Mumbai Property Pricier Than Manhattan!? Releasing Soon...,2025-09-03T07:30:18Z,112242,3150,31,PT1M34S,0,1,34,No,94,1.5666666666666669,False
tQRjVK8NOiY,Why Work Experience Matters Before MBA,2025-09-01T08:08:05Z,43984,1184,5,PT1M2S,0,1,2,No,62,1.0333333333333334,False
IDFPJSZq8UM,Modi In China : Is India About to Make a HUGE Mistake in China Relations?,2025-08-31T08:30:07Z,857895,28045,2027,PT21M28S,0,21,28,No,1288,21.466666666666665,False
yHbMi0UDgKc,Selling a Startup: Myth vs Reality,2025-08-28T12:31:25Z,241328,6732,23,PT1M10S,0,1,10,No,70,1.1666666666666667,False
KW3TzlGE98I,China’s Lithium Monopoly,2025-08-28T08:50:47Z,524086,13389,118,PT1M9S,0,1,9,No,69,1.15,False
