video_id,title,published_at,view_count,like_count,comment_count,duration,hours,minutes,seconds,podcast,total_seconds,duration_minutes,is_short_strict
lBCiFPh87ik,Packaging You Can't Ignore!,2025-11-27T06:50:02Z,7050,358,2,PT37S,0,0,37,No,37,0.6166666666666667,True
-XLYBiMJDI0,How can India go global?,2025-11-26T11:30:00Z,21961,446,2,PT52S,0,0,52,No,52,0.8666666666666667,True
XczYinm2pQc,Smart Founders Don’t Ask… They Observe,2025-11-25T12:45:11Z,24199,432,1,PT37S,0,0,37,No,37,0.6166666666666667,True
9c3FuuqNOCM,Easiest Way to Make Your Brand Memorable !,2025-11-24T16:29:39Z,30815,514,1,PT27S,0,0,27,No,27,0.45,True
028kXj_TvBE,Why do startups fail?,2025-11-23T04:30:01Z,32249,814,2,PT45S,0,0,45,No,45,0.75,True
MqDcYY-si7o,Packaging makes or breaks your product!,2025-11-22T13:30:32Z,61453,639,5,PT36S,0,0,36,No,36,0.6,True
Ev3NoTLFDQI,The TOP 3 Must-Have Professionals for Any Business,2025-11-22T07:30:08Z,27280,601,1,PT37S,0,0,37,No,37,0.6166666666666667,True
wEphdmtJt4s,Nike and Apple's brilliant marketing,2025-11-21T16:08:49Z,39990,976,6,PT41S,0,0,41,No,41,0.6833333333333333,True
DRfsQCOLAJI,Ranveer’s secret skill!,2025-11-17T15:04:18Z,53927,665,3,PT39S,0,0,39,No,39,0.65,True
qDfHroMVvAM,Built on Kishore Biyani’s legacy.,2025-11-15T15:49:58Z,121818,2243,14,PT42S,0,0,42,No,42,0.7,True
u_Vz_cmltJE,How Super you Got Ranveer Singh!,2025-11-12T07:30:30Z,2256090,46368,147,PT45S,0,0,45,No,45,0.75,True
7G0vQ9eASUg,"Pricing isn’t maths,it’s psychology.",2025-11-08T13:30:05Z,36803,703,8,PT51S,0,0,51,No,51,0.85,True
fCMD7PFB5bk,Every Failed Brand Ignored This One Rule,2025-11-08T11:13:33Z,51690,966,23,PT1M,0,1,0,No,60,1.0,True
xY2Jq6pYlgM,Elon Musk's real competition revealed!,2025-11-01T14:00:18Z,118494,2568,18,PT33S,0,0,33,No,33,0.55,True
P9hlfABpmRg,Renewable Energy in India Grows FAST!,2025-10-27T15:00:53Z,97175,1971,19,PT59S,0,0,59,No,59,0.9833333333333333,True
5SOFexgkXnM,Smart meters transform India’s energy system,2025-10-26T15:30:04Z,73779,1251,20,PT49S,0,0,49,No,49,0.8166666666666667,True
ZHp_J7u5JZ4,From power plant to your plug ⚡,2025-10-26T13:30:38Z,35096,642,12,PT43S,0,0,43,No,43,0.7166666666666667,True
np1aW6FPR_Q,Start-ups vs IPL & Bollywood,2025-10-23T12:31:06Z,58151,833,7,PT38S,0,0,38,No,38,0.6333333333333333,True
uIDX0K1PYow,Every FMCG Start up should know this!,2025-10-21T10:01:27Z,48370,1055,9,PT46S,0,0,46,No,46,0.7666666666666667,True
hTaHvHshjz4,"Freebies don’t sell, retailers do",2025-10-19T13:01:19Z,53005,1047,9,PT45S,0,0,45,No,45,0.75,True
0KsJuYGqSrM,Did Mukesh Ambani disrupt the beverage space of India?,2025-10-19T11:19:30Z,400784,7708,105,PT58S,0,0,58,No,58,0.9666666666666667,True
Etj-5IdrdKs,Colgate vs Pepsodent Which Toothpaste Reigns SUPREME?,2025-10-18T14:45:01Z,1247565,18657,293,PT44S,0,0,44,No,44,0.7333333333333333,True
d6rcfZ852M0,Every founder needs to hear this!,2025-10-18T12:30:58Z,34141,839,1,PT52S,0,0,52,No,52,0.8666666666666667,True
KoOPGz97wo8,Focus sells. Variety kills growth.,2025-10-16T14:30:31Z,46237,929,17,PT45S,0,0,45,No,45,0.75,True
W66twle3NmM,Brand Building 101! 💯,2025-10-16T04:30:19Z,72177,1339,15,PT47S,0,0,47,No,47,0.7833333333333333,True
t_l1seEqHto,"Raise funds smart, not just fast.",2025-10-14T15:30:28Z,71536,1046,4,PT41S,0,0,41,No,41,0.6833333333333333,True
mZTjis-RFh0,How a ₹10 desi drink built a ₹525 crore empire!,2025-10-12T14:41:54Z,106678,1662,27,PT44S,0,0,44,No,44,0.7333333333333333,True
RTzaXdn60qE,The billion-dollar market sitting right under our nose!,2025-10-11T07:30:13Z,176912,2915,12,PT49S,0,0,49,No,49,0.8166666666666667,True
spxcXneotco,Thumbs Up’s 5000cr secret,2025-10-10T14:30:52Z,85035,1117,11,PT46S,0,0,46,No,46,0.7666666666666667,True
Yu1sP2TOjDA,Why is India Weak ❤️‍🩹,2025-10-03T10:43:15Z,78166,1728,14,PT47S,0,0,47,No,47,0.7833333333333333,True
5KJgsEW-yjg,I Visited an Ultrarich Hospital and Here's What I Learned,2025-09-28T12:30:07Z,74972,1172,3,PT37S,0,0,37,No,37,0.6166666666666667,True
a2qOULjntWU,Apple like Hospital..,2025-09-19T15:36:04Z,202753,3993,13,PT57S,0,0,57,No,57,0.95,True
HPRyb6rCuEM,Health plan cheaper than your jeans?,2025-09-19T07:27:53Z,2314699,51246,428,PT59S,0,0,59,No,59,0.9833333333333333,True
VfV1zNJJ2Vg,Best Dictator In History?,2025-09-15T04:10:29Z,30421,936,11,PT46S,0,0,46,No,46,0.7666666666666667,True
jgK_AolUecY,Real estate Strategy for Dream home,2025-09-13T14:27:51Z,105353,2555,10,PT57S,0,0,57,No,57,0.95,True
