video_id,title,published_at
lBCiFPh87ik,Packaging You Can't Ignore!,2025-11-27T06:50:02Z
-XLYBiMJDI0,How can India go global?,2025-11-26T11:30:00Z
XczYinm2pQc,Smart Founders Don’t Ask… They Observe,2025-11-25T12:45:11Z
9c3FuuqNOCM,Easiest Way to Make Your Brand Memorable !,2025-11-24T16:29:39Z
fP7jNb4hT8M,"Smart Founders Don’t Fear AI, They Partner It!",2025-11-23T15:04:55Z
028kXj_TvBE,Why do startups fail?,2025-11-23T04:30:01Z
MqDcYY-si7o,Packaging makes or breaks your product!,2025-11-22T13:30:32Z
Ev3NoTLFDQI,The TOP 3 Must-Have Professionals for Any Business,2025-11-22T07:30:08Z
wEphdmtJt4s,Nike and Apple's brilliant marketing,2025-11-21T16:08:49Z
H088ypbYuDw,100x Your Brand in 60 Minutes with These PROVEN Tactics,2025-11-21T13:42:00Z
wO1eJMRMvyE,From ₹0 to ₹1500 CR: The Mensa Playbook!,2025-11-21T13:31:11Z
DRfsQCOLAJI,Ranveer’s secret skill!,2025-11-17T15:04:18Z
WU1441n9Ev0,Insight-driven brands always win in India!,2025-11-16T06:30:14Z
qDfHroMVvAM,Built on Kishore Biyani’s legacy.,2025-11-15T15:49:58Z
u_Vz_cmltJE,How Super you Got Ranveer Singh!,2025-11-12T07:30:30Z
jBEOdMKAkEU,BYD vs Tesla: How CHINA Beat ELON MUSK at His Own Game| Business Case Study,2025-11-11T13:02:48Z
CaoAr02C3pI,"Repeat value, not volume!",2025-11-10T05:45:19Z
U1uF-c0zmr8,The REAL Reason Familiar Taste Beats Fancy Flavors Always,2025-11-09T06:59:23Z
7G0vQ9eASUg,"Pricing isn’t maths,it’s psychology.",2025-11-08T13:30:05Z
fCMD7PFB5bk,Every Failed Brand Ignored This One Rule,2025-11-08T11:13:33Z
16p88Rrrckc,Health isn’t punishment. It’s portion control.,2025-11-08T08:00:02Z
rE5yGaXVH84,One recipe can’t win all of India!,2025-11-07T09:38:27Z
G8UK7WcdF1Y,Super You's EPIC ₹100 Crore Blueprint: INSANE Marketing SECRETS Nobody Talks About! IBP 46,2025-11-04T15:15:37Z
sVlJveU54Bs,How Super You became a ₹100 Cr story?,2025-11-04T15:15:14Z
xY2Jq6pYlgM,Elon Musk's real competition revealed!,2025-11-01T14:00:18Z
Ib1E-rneIEk,India’s next revolution runs on sunlight.,2025-10-30T04:30:10Z
MOy2QiG4yMg,India's DEEP Power Crisis Explained,2025-10-29T16:00:41Z
Ho7yc-gDcd0,Ambani & Adani's AI Data Centres Spark India's Growing WATER SCARCITY,2025-10-29T15:25:28Z
WbA0k9ZiLE0,India mines coal and buys it too?!,2025-10-28T19:30:06Z
wP6nHR7cI58,Apple is Failing ? : The TRUTH Apple Doesn’t Want You to Know | Business Case study,2025-10-27T15:13:41Z
P9hlfABpmRg,Renewable Energy in India Grows FAST!,2025-10-27T15:00:53Z
5SOFexgkXnM,Smart meters transform India’s energy system,2025-10-26T15:30:04Z
ZHp_J7u5JZ4,From power plant to your plug ⚡,2025-10-26T13:30:38Z
np1aW6FPR_Q,Start-ups vs IPL & Bollywood,2025-10-23T12:31:06Z
C_Wk44s2TWY,India’s Dirty Secret: How is the Power Crisis Paralysing India? How to fix it?,2025-10-22T15:55:01Z
QSm9xVdn9AY,What if India’s ₹8 Lakh Crore power problem is next biggest business opportunity?,2025-10-22T08:30:12Z
uIDX0K1PYow,Every FMCG Start up should know this!,2025-10-21T10:01:27Z
6qprafmrYJA,Which flavour screams India: Kacha Aam or Jeera?,2025-10-19T14:00:11Z
hTaHvHshjz4,"Freebies don’t sell, retailers do",2025-10-19T13:01:19Z
0KsJuYGqSrM,Did Mukesh Ambani disrupt the beverage space of India?,2025-10-19T11:19:30Z
Etj-5IdrdKs,Colgate vs Pepsodent Which Toothpaste Reigns SUPREME?,2025-10-18T14:45:01Z
d6rcfZ852M0,Every founder needs to hear this!,2025-10-18T12:30:58Z
dBFtJUYk-w8,TATA MOTORS DEMERGER :Genius or Blunder? | Business Case study,2025-10-17T14:45:07Z
KoOPGz97wo8,Focus sells. Variety kills growth.,2025-10-16T14:30:31Z
W66twle3NmM,Brand Building 101! 💯,2025-10-16T04:30:19Z
t_l1seEqHto,"Raise funds smart, not just fast.",2025-10-14T15:30:28Z
mZTjis-RFh0,How a ₹10 desi drink built a ₹525 crore empire!,2025-10-12T14:41:54Z
RTzaXdn60qE,The billion-dollar market sitting right under our nose!,2025-10-11T07:30:13Z
spxcXneotco,Thumbs Up’s 5000cr secret,2025-10-10T14:30:52Z
6IFLWZ3KtoA,Can Lahori Jeera’s strategy Beat Ambani’s Campa Cola? ₹10 War Explained : IBP Case Study,2025-10-09T13:12:20Z
kDGCTQsIj2E,"MSP isn't the problem, India's use of it is",2025-10-08T13:01:26Z
NM_Icq_Vpyc,How ₹10 drink made ₹525 cr Empire! #cocacola #scam #startup #investing,2025-10-08T10:45:01Z
mLf3KYTkGuA,How America Funds Wars to make Money? America's dirty strategy Exposed | Geopolitical case study,2025-10-04T13:30:46Z
tlj7hMWj0vI,India’s black economy isn’t accidental!,2025-10-04T13:15:33Z
Yu1sP2TOjDA,Why is India Weak ❤️‍🩹,2025-10-03T10:43:15Z
5zRFMIAHeLs,Is India's DEMONETIZATION WAR on Black Money Working?,2025-10-02T10:25:02Z
zt5uqErQysk,The $4 Trillion GDP Is a Lie? | Why Our $4 Trillion GDP is Actually Only $2.5 Trillion | IBP,2025-10-01T12:31:17Z
du7Auc_qprE,Is BJP doing a good job?,2025-10-01T09:02:07Z
5KJgsEW-yjg,I Visited an Ultrarich Hospital and Here's What I Learned,2025-09-28T12:30:07Z
K7FwtWVa8ds,3 Crore a bed vs 70 Lakh a bed!,2025-09-28T04:30:13Z
tz2ujCvDRRg,No More Waiting for hours in hospital!,2025-09-27T15:08:06Z
br2Tbn11DjY,Magic Hospital ❤️,2025-09-26T15:15:36Z
XaG2QNfiPnk,God Complex: Elon Musk vs Sam Altman and the AI Battle,2025-09-25T04:49:53Z
a2qOULjntWU,Apple like Hospital..,2025-09-19T15:36:04Z
HPRyb6rCuEM,Health plan cheaper than your jeans?,2025-09-19T07:27:53Z
Lhc_NfG54PA,India's Health Crisis : How to Fix India's BROKEN healthcare system? | Ex Apollo Reveals Secrets,2025-09-18T15:43:40Z
Jgi9zztt758,Shocking reality of Indian Healthcare,2025-09-15T08:30:08Z
VfV1zNJJ2Vg,Best Dictator In History?,2025-09-15T04:10:29Z
4WYJHSeBGOs,Is Navi Mumbai the future of urban living?,2025-09-14T06:30:03Z
jgK_AolUecY,Real estate Strategy for Dream home,2025-09-13T14:27:51Z
ieyzFXJk4e8,Dictator vs Democracy: The rise of Xi Jinping and China? Explained,2025-09-13T08:30:24Z
beTuvUzI9f4,Don’t Invest in Mumbai Before This!,2025-09-11T13:42:36Z
5eGfaoxxzk0,Mumbai Real Estate’s Real Mantra,2025-09-10T14:41:32Z
jHzYIFM08vQ,Carpet Area vs Super Built-Up Area,2025-09-10T07:03:45Z
1G7ZTXTVDa0,Top 5 Indian Cities to Invest in 2025,2025-09-08T13:30:05Z
3ffs2n76Y3I,India’s Most Expensive Address,2025-09-08T12:30:10Z
0ieqe41jOEA,The Real TRUTH About E20 Petrol | Full POLICY EXPLAINED,2025-09-07T10:30:02Z
zGyhqhH1rpQ,Why Skyscrapers Signal Recession?,2025-09-06T12:31:20Z
_nBsQAU7ISM,Mumbai’s Next Real Estate Jackpot,2025-09-05T14:24:17Z
IiLmHwfx6e4,UltraRich Broker Spills secrets on Mumbai Real Estate? | ft. @rk.ravikewalramani Business Podcast,2025-09-05T12:30:33Z
ZqIk_TSrsNs,Mumbai Property Pricier Than Manhattan!? Releasing Soon...,2025-09-03T07:30:18Z
tQRjVK8NOiY,Why Work Experience Matters Before MBA,2025-09-01T08:08:05Z
IDFPJSZq8UM,Modi In China : Is India About to Make a HUGE Mistake in China Relations?,2025-08-31T08:30:07Z
4LcPBesjn74,How To Sell Your Startup Idea,2025-08-30T14:30:07Z
v38RovZQNdc,Building To Sell? Here’s The Problem,2025-08-30T12:31:24Z
SDhODTG2FZs,Brands For India 2 & India 3,2025-08-30T11:04:09Z
3I5nmNZDMQU,The Untapped EdTech Market In India,2025-08-29T10:30:02Z
7HpJXuGfYIU,Simplest Way To Validate An Idea,2025-08-29T09:26:43Z
yHbMi0UDgKc,Selling a Startup: Myth vs Reality,2025-08-28T12:31:25Z
kuPYMFHJ8Lw,AI Startups Are Today’s Gold Rush,2025-08-28T10:30:24Z
KW3TzlGE98I,China’s Lithium Monopoly,2025-08-28T08:50:47Z
LM1ToX-82f8,Indigo vs Emirates: Can Indigo Survive the Oil Titans and go International? : Business case study,2025-08-27T15:01:38Z
LwYpnIy1qBM,Cinema dies without diverse stories,2025-08-25T14:30:12Z
WhEB8SI51QU,Audience emotions reveal the real problem,2025-08-25T11:00:58Z
Tt-cSywn1f0,Why Scaler redefines business education,2025-08-22T11:37:00Z
70Bg6fkr9gI,CEO Blueprint : Anupam Mittal's Masterclass on How to Find Gap in the Market?,2025-08-21T15:15:01Z
QQ9XhGuBIZ8,What Investors Really Look For? @SonyLIV​,2025-08-21T14:33:46Z
ENmpCtevpu4,Aamir Khan on his biggest insecurity,2025-08-21T12:30:28Z
7lDpY-WK0tk,Story behind casting of Ishaan,2025-08-21T06:46:25Z
5llASgoUMEo,Why Aamir trusts test screenings?,2025-08-20T14:30:07Z
bVmqGQwP918,Edit that changed Taare Zameen Par,2025-08-20T13:30:36Z
ycI5zFvw90w,Cinema was for everyone…not anymore,2025-08-20T07:18:59Z
nu-xByQyuLE,"Chase excellence, success will follow",2025-08-20T07:14:06Z
1tRTWwZ5DIc,The INSANE Rise of NVIDIA: From Bankruptcy to $4 Trillion? | Business case study @NVIDIA,2025-08-17T06:30:07Z
mFxgSkOER3Q,Rise of NVIDIA #thinkschool #nvidia,2025-08-17T05:00:29Z
8FDs-jQYAmM,Lessons from Tomorrowland for India!,2025-08-14T13:24:52Z
cgrRcoUDRmM,Payments App That Stops Your Money Leaks,2025-08-13T14:25:27Z
w3us7h5g7uU,Only 2% of Indians have access to Movies,2025-08-12T11:30:54Z
jHI4SpRB4vI,Secret Behind Every Blockbuster Movie,2025-08-12T09:57:34Z
YYJZ6FDO5W4,3 Critical Factors That Will SHAPE Indian Cinema's Success,2025-08-11T14:30:23Z
_WCM7Pz1jy4,Addressing the hate I got on the Israel podcast,2025-08-08T14:10:57Z
elT3DbT0w-M,Israel attacked aid centres in Gaza?,2025-08-08T09:00:54Z
6FzfkIGuscc,"Why Israel Attacks Syria, Fears Iran’s Bomb & Faces Global Pressure : Israeli Ambassador Explains",2025-08-06T13:00:11Z
MPb-kn4C1EU,IBP with Israel’s Top Diplomat,2025-08-06T02:30:18Z
DWTnlMBsV8I,New Episode Coming Soon...,2025-08-05T10:52:49Z
1jUjEVbHV38,Chicago Land Bubble Explained,2025-08-04T08:21:56Z
smU64rAUFMo,Big name dropping soon..,2025-08-03T08:23:52Z
aCzWyOeS_kU,Learn to Ask Better Questions To AI,2025-08-01T14:30:00Z
nxV5xkVuX8g,Engineers Must Think Like Founders,2025-08-01T12:30:58Z
tf4hO6oeI-E,How OpenAI Hires Top Talent?,2025-08-01T07:51:06Z
cVNAAiv0C4o,AI Creates But TASTE Decides Everything,2025-08-01T07:45:25Z
P74BcjfET7Y,What Sets Sam Altman Apart,2025-07-31T14:57:32Z
ockrdZal5fA,@OpenAI VP on How AI Will Redefine Work ft. Srinivas Narayanan | IBP EP37,2025-07-31T14:30:39Z
q17CevDx82E,Persuasion Isn’t Manipulation,2025-07-31T09:10:34Z
egDxxZa6LPo,Sales Is The Foundation of Success,2025-07-31T09:04:34Z
P5BRLfA3fGs,"China is in 300% DEBT, is it a CRITICAL LESSON for India? ECONOMIC CASE STUDY",2025-07-30T14:30:07Z
3JcmOnZ4f3Y,Man behind @OpenAI ft. Srinivas Narayanan,2025-07-30T14:30:04Z
inrS8kS_WuQ,Placement Is The Real MBA Product,2025-07-30T12:30:52Z
YeuGK3sl1vY,"Feedback is a Gift, Not Attack",2025-07-30T11:30:34Z
L_3wOmRiYis,DLF Camellias: Best Real Estate Project?,2025-07-30T10:30:22Z
-Lm0Nhp1IWM,"Jobs Come First, Real Estate Follows",2025-07-30T09:30:01Z
EXaungV5q3U,Gurgaon's Real Estate Bubble,2025-07-30T08:36:58Z
QMP7KPKjgh4,"Tools Amplify You, Not Change You",2025-07-30T06:47:24Z
hvap97NGRY4,Why Founders Make the Best Hires,2025-07-30T06:42:10Z
IG2Ot6gyEGM,Why Indians Struggle at Sales,2025-07-29T08:24:04Z
5ijaf7i5TIY,Can AI Agents replace HR?,2025-07-28T12:47:15Z
LrH36jzRFyE,Join us at Odoo Community Days,2025-07-28T06:22:52Z
gLeMTK3PeC8,10X Your BUSINESS and Build POWERFUL Career: Kunal Shah’s UNFILTERED Business MASTERCLASS | IBP EP36,2025-07-26T12:40:02Z
IyeBwEn47PQ,Why Homebuyers Don’t Trust Builders,2025-07-26T06:55:16Z
50jMz-c-vE8,One Project Changes City Prices,2025-07-23T14:38:16Z
WigW83_aoAI,Why Airport Areas See Land Hype,2025-07-21T14:23:19Z
lAIh3MgD7Ac,Why Gurgaon’s Real Estate Boomed?,2025-07-21T12:48:18Z
i_Y-yBW7kCU,Dark Truth of Gurgaon Real Estate Ft. Vishal Bhargava | IBP EP35,2025-07-21T12:30:50Z
yDed2v571pw,Gurgaon Property Boom or Bust? Releasing soon!,2025-07-19T09:03:17Z
qtRH3EteJ_o,Why You’re Still Earning ₹4 LPA,2025-07-18T07:43:14Z
KiIvF4JM694,Proactive candidates always stand out,2025-07-17T15:27:17Z
hMoK4u1mXZA,ESOPs vs Salary,2025-07-17T05:44:24Z
16o4KgNVBeI,IIM vs Scaler,2025-07-15T16:09:52Z
WJIw5pEFKBw,What makes your Resume special?,2025-07-15T08:53:26Z
0Z_IL6IQvJk,One Big Myth About Startups,2025-07-14T13:57:33Z
rb_tQdRwYnw,Trump's Explosive Warning: Is BRICS on the Edge of Collapse? Geopolitical Case Study,2025-07-13T10:40:01Z
h-Q0777sxpk,IIM is Overrated?,2025-07-11T14:50:03Z
cw06YhrrofU,Secret of High income earners,2025-07-11T14:12:32Z
Jtlhil-ZrSw,Inside Facebook’s Ruthless Meritocracy,2025-07-11T13:50:05Z
-_rzYoEZdc0,50 Lakhs income secret.. coming soon,2025-07-11T13:25:34Z
aRPdjYpTtxc,AI Is Replacing These Jobs,2025-07-11T13:06:59Z
xwFgddaaBXs,Ex-Facebook & Uber Heads Reveal 9 SIMPLE HABITS to EARN ₹50 Lakh/Year | IBP EP34,2025-07-11T12:45:07Z
HP5Ksajn4lc,America Shocked 🚨: Elon Musk Annouces a new Political Party | Whats next? | Political Case study,2025-07-04T06:43:00Z
7ek1P610tm4,"How this UGLY Doll ""Labubu"" Prints $1.6 Billion: HYPE Marketing Explained | Business Case Study",2025-07-02T15:00:07Z
B8X3loWQqyU,MrBeast's Viral Thumbnail Secret!,2025-06-30T06:15:17Z
O0Qhnls-C6k,NASA's Innovation First Rule,2025-06-30T06:13:56Z
1--iZlvRw9Q,Product vs Sponsorship,2025-06-27T09:09:59Z
AFhH7rG1yb0,Instagram vs YouTube,2025-06-27T08:44:47Z
KUM6J25ySlE,How Does Mark Rober Create Viral Hits?,2025-06-27T08:15:02Z
QPCC918A2a4,The secret to viral thumbnails,2025-06-26T13:19:07Z
jGgb3i8sui4,How Mark Rober makes viral videos?,2025-06-26T13:16:17Z
7HAF4KdnfC8,Apple’s Secret Culture of Simplicity,2025-06-26T06:46:51Z
bLPcagynjII,Will AI Secretly Take Over Humanity?,2025-06-26T06:44:14Z
trKuZAGlvoY,₹50 Lakh Jugaad Challenge for India!,2025-06-25T15:37:08Z
jgCIrZxXdbQ,3 Lessons India Can Learn From NASA,2025-06-25T15:28:56Z
FCWwRwdbbJg,@MarkRober  Leadership Formula,2025-06-25T15:00:30Z
YZOaZM4Cf1M,"@MarkRober  Loves ""Jugaad""",2025-06-25T14:56:28Z
rlcZyFsGFkk,AI Will Reshape Global Power Forever,2025-06-25T14:52:46Z
5d3AB7oYQy4,Creators Fail Without THIS One Role!,2025-06-25T14:45:46Z
lArBQUlVn9w,@loganpaulvlogs  Prime Marketing Strategy,2025-06-25T14:40:09Z
M173e445SxY,"@MarkRober on NASA, Apple & How to Go Viral on YouTube? | IBP EP33",2025-06-25T14:30:14Z
a2bReBOl91U,@MarkRober  NASA Engineer to YouTuber,2025-06-25T10:40:07Z
cfpIxv8vqr0,Why Russia and China wont let IRAN Fall? | Geopolitical Case Study,2025-06-24T05:33:10Z
6DX8jLJNwM0,Amazon vs Nykaa Inventory Models,2025-06-21T06:48:29Z
7HXNTrfJ16c,Dark Side of Skincare Industry,2025-06-21T06:48:21Z
Nb2Ax0Q913A,How brands choose Creators,2025-06-21T06:48:01Z
aeVrdWg19hA,Creativity vs Discipline,2025-06-21T06:47:52Z
hP0Jzcmulg4,Growth of Face Serum Market,2025-06-20T13:46:05Z
V5pd_Vr_z8A,How to deal with Hairfall?,2025-06-20T13:46:00Z
zGIwnkU01X4,FREE MBA : How Minimalist Conquered India's D2C Beauty Market? - IBP EP32,2025-06-20T13:45:08Z
nAEHny6_d8w,2955 Cr Skincare Business #minimalist,2025-06-19T12:01:56Z
J7eRGL5uvaE,DONALD TRUMP'S “Big Beautiful Bill” Just Changed Everything for ELON MUSK!!,2025-06-12T15:20:00Z
Ctv0q_LAld4,Pantaloons vs Manyavar,2025-06-12T06:14:48Z
ZtXh621S4DA,How SuperYou was positioned?,2025-06-12T05:57:05Z
qC_5Szufc-M,"Harvard, Stanford...where's India?",2025-06-12T05:38:00Z
M0DEvalGo-Q,Build a life not just a resume,2025-06-12T05:15:04Z
PZX82POfJ1g,MBA won't teach you this!,2025-06-11T12:50:10Z
NW0pOuRljNI,Listerine's brilliant marketing strategy,2025-06-11T08:51:41Z
0dYmToMydPU,3 must-read books for success,2025-06-11T07:08:27Z
lUyn_nyhRCQ,Premiumising daily goods in India,2025-06-11T06:35:49Z
mP1M8laJF-c,Old India vs New India,2025-06-11T06:27:23Z
5pRSjutHBgc,What made Big Bazaar successful?,2025-06-11T06:00:48Z
