video_id,title,published_at,view_count,like_count,comment_count,duration
X0QmjGzoW98,SHOCKING : Meesho’s Hidden Superpower has made it a GOLDMINE. It is val***….?:  Business Case Study,2025-12-03T04:53:52Z,48511,2910,126,PT14M48S
UNPqb4ThKHg,TESLA vs Uber : Will UBER Be Dead by 2030? | Business Wars Case Study,2025-11-27T12:08:26Z,203724,5828,329,PT17M45S
lBCiFPh87ik,Packaging You Can't Ignore!,2025-11-27T06:50:02Z,345980,8398,48,PT37S
-XLYBiMJDI0,How can India go global?,2025-11-26T11:30:00Z,34283,636,8,PT52S
XczYinm2pQc,Smart Founders Don’t Ask… They Observe,2025-11-25T12:45:11Z,34146,585,2,PT37S
9c3FuuqNOCM,Easiest Way to Make Your Brand Memorable !,2025-11-24T16:29:39Z,44617,655,1,PT27S
fP7jNb4hT8M,"Smart Founders Don’t Fear AI, They Partner It!",2025-11-23T15:04:55Z,26781,971,5,PT1M14S
028kXj_TvBE,Why do startups fail?,2025-11-23T04:30:01Z,35587,882,2,PT45S
MqDcYY-si7o,Packaging makes or breaks your product!,2025-11-22T13:30:32Z,65365,676,5,PT36S
Ev3NoTLFDQI,The TOP 3 Must-Have Professionals for Any Business,2025-11-22T07:30:08Z,29866,646,1,PT37S
wEphdmtJt4s,Nike and Apple's brilliant marketing,2025-11-21T16:08:49Z,41619,1004,6,PT41S
H088ypbYuDw,100x Your Brand in 60 Minutes with These PROVEN Tactics,2025-11-21T13:42:00Z,164289,3083,150,PT1H20M26S
wO1eJMRMvyE,From ₹0 to ₹1500 CR: The Mensa Playbook!,2025-11-21T13:31:11Z,51748,1514,27,PT2M13S
DRfsQCOLAJI,Ranveer’s secret skill!,2025-11-17T15:04:18Z,55034,671,3,PT39S
WU1441n9Ev0,Insight-driven brands always win in India!,2025-11-16T06:30:14Z,68313,1140,10,PT1M5S
qDfHroMVvAM,Built on Kishore Biyani’s legacy.,2025-11-15T15:49:58Z,123016,2269,14,PT42S
u_Vz_cmltJE,How Super you Got Ranveer Singh!,2025-11-12T07:30:30Z,2279550,46557,148,PT45S
jBEOdMKAkEU,BYD vs Tesla: How CHINA Beat ELON MUSK at His Own Game| Business Case Study,2025-11-11T13:02:48Z,669210,17124,752,PT22M33S
CaoAr02C3pI,"Repeat value, not volume!",2025-11-10T05:45:19Z,33604,931,7,PT1M7S
U1uF-c0zmr8,The REAL Reason Familiar Taste Beats Fancy Flavors Always,2025-11-09T06:59:23Z,490491,10904,36,PT1M12S
7G0vQ9eASUg,"Pricing isn’t maths,it’s psychology.",2025-11-08T13:30:05Z,37125,707,8,PT51S
fCMD7PFB5bk,Every Failed Brand Ignored This One Rule,2025-11-08T11:13:33Z,52000,967,23,PT1M
16p88Rrrckc,Health isn’t punishment. It’s portion control.,2025-11-08T08:00:02Z,32380,714,12,PT1M7S
rE5yGaXVH84,One recipe can’t win all of India!,2025-11-07T09:38:27Z,61892,1146,10,PT1M12S
G8UK7WcdF1Y,Super You's EPIC ₹100 Crore Blueprint: INSANE Marketing SECRETS Nobody Talks About! IBP 46,2025-11-04T15:15:37Z,146574,2459,123,PT1H37M52S
sVlJveU54Bs,How Super You became a ₹100 Cr story?,2025-11-04T15:15:14Z,69954,2079,33,PT1M50S
xY2Jq6pYlgM,Elon Musk's real competition revealed!,2025-11-01T14:00:18Z,120042,2588,18,PT33S
Ib1E-rneIEk,India’s next revolution runs on sunlight.,2025-10-30T04:30:10Z,51953,1476,15,PT1M24S
MOy2QiG4yMg,India's DEEP Power Crisis Explained,2025-10-29T16:00:41Z,186367,4020,56,PT1M21S
Ho7yc-gDcd0,Ambani & Adani's AI Data Centres Spark India's Growing WATER SCARCITY,2025-10-29T15:25:28Z,455375,15564,1220,PT15M45S
WbA0k9ZiLE0,India mines coal and buys it too?!,2025-10-28T19:30:06Z,52813,1265,18,PT1M2S
wP6nHR7cI58,Apple is Failing ? : The TRUTH Apple Doesn’t Want You to Know | Business Case study,2025-10-27T15:13:41Z,464874,13541,599,PT16M48S
P9hlfABpmRg,Renewable Energy in India Grows FAST!,2025-10-27T15:00:53Z,97439,1972,20,PT59S
5SOFexgkXnM,Smart meters transform India’s energy system,2025-10-26T15:30:04Z,74834,1260,21,PT49S
ZHp_J7u5JZ4,From power plant to your plug ⚡,2025-10-26T13:30:38Z,35206,640,12,PT43S
np1aW6FPR_Q,Start-ups vs IPL & Bollywood,2025-10-23T12:31:06Z,58312,836,7,PT38S
C_Wk44s2TWY,India’s Dirty Secret: How is the Power Crisis Paralysing India? How to fix it?,2025-10-22T15:55:01Z,268352,4658,353,PT1H42M7S
QSm9xVdn9AY,What if India’s ₹8 Lakh Crore power problem is next biggest business opportunity?,2025-10-22T08:30:12Z,139246,3897,72,PT2M14S
uIDX0K1PYow,Every FMCG Start up should know this!,2025-10-21T10:01:27Z,48489,1057,9,PT46S
6qprafmrYJA,Which flavour screams India: Kacha Aam or Jeera?,2025-10-19T14:00:11Z,232470,4036,16,PT1M1S
hTaHvHshjz4,"Freebies don’t sell, retailers do",2025-10-19T13:01:19Z,53137,1048,9,PT45S
0KsJuYGqSrM,Did Mukesh Ambani disrupt the beverage space of India?,2025-10-19T11:19:30Z,401376,7711,105,PT58S
Etj-5IdrdKs,Colgate vs Pepsodent Which Toothpaste Reigns SUPREME?,2025-10-18T14:45:01Z,1253520,18736,293,PT44S
d6rcfZ852M0,Every founder needs to hear this!,2025-10-18T12:30:58Z,34216,841,1,PT52S
dBFtJUYk-w8,TATA MOTORS DEMERGER :Genius or Blunder? | Business Case study,2025-10-17T14:45:07Z,596383,19137,392,PT20M42S
KoOPGz97wo8,Focus sells. Variety kills growth.,2025-10-16T14:30:31Z,46314,928,17,PT45S
W66twle3NmM,Brand Building 101! 💯,2025-10-16T04:30:19Z,72254,1339,15,PT47S
t_l1seEqHto,"Raise funds smart, not just fast.",2025-10-14T15:30:28Z,71602,1045,4,PT41S
mZTjis-RFh0,How a ₹10 desi drink built a ₹525 crore empire!,2025-10-12T14:41:54Z,106798,1662,27,PT44S
RTzaXdn60qE,The billion-dollar market sitting right under our nose!,2025-10-11T07:30:13Z,177003,2911,12,PT49S
spxcXneotco,Thumbs Up’s 5000cr secret,2025-10-10T14:30:52Z,85124,1116,11,PT46S
6IFLWZ3KtoA,Can Lahori Jeera’s strategy Beat Ambani’s Campa Cola? ₹10 War Explained : IBP Case Study,2025-10-09T13:12:20Z,266033,3949,281,PT1H28M45S
kDGCTQsIj2E,"MSP isn't the problem, India's use of it is",2025-10-08T13:01:26Z,138074,2870,58,PT1M43S
NM_Icq_Vpyc,How ₹10 drink made ₹525 cr Empire! #cocacola #scam #startup #investing,2025-10-08T10:45:01Z,139294,3282,28,PT1M30S
mLf3KYTkGuA,How America Funds Wars to make Money? America's dirty strategy Exposed | Geopolitical case study,2025-10-04T13:30:46Z,554606,18704,623,PT20M9S
tlj7hMWj0vI,India’s black economy isn’t accidental!,2025-10-04T13:15:33Z,273149,6181,89,PT1M7S
Yu1sP2TOjDA,Why is India Weak ❤️‍🩹,2025-10-03T10:43:15Z,78270,1729,14,PT47S
5zRFMIAHeLs,Is India's DEMONETIZATION WAR on Black Money Working?,2025-10-02T10:25:02Z,670706,12945,123,PT1M23S
zt5uqErQysk,The $4 Trillion GDP Is a Lie? | Why Our $4 Trillion GDP is Actually Only $2.5 Trillion | IBP,2025-10-01T12:31:17Z,456014,11438,1514,PT1H28M4S
du7Auc_qprE,Is BJP doing a good job?,2025-10-01T09:02:07Z,160069,5564,130,PT1M49S
5KJgsEW-yjg,I Visited an Ultrarich Hospital and Here's What I Learned,2025-09-28T12:30:07Z,75078,1175,3,PT37S
K7FwtWVa8ds,3 Crore a bed vs 70 Lakh a bed!,2025-09-28T04:30:13Z,270993,6430,56,PT1M30S
tz2ujCvDRRg,No More Waiting for hours in hospital!,2025-09-27T15:08:06Z,53116,1282,12,PT1M15S
br2Tbn11DjY,Magic Hospital ❤️,2025-09-26T15:15:36Z,149776,2985,30,PT1M16S
XaG2QNfiPnk,God Complex: Elon Musk vs Sam Altman and the AI Battle,2025-09-25T04:49:53Z,466037,17568,635,PT19M3S
a2qOULjntWU,Apple like Hospital..,2025-09-19T15:36:04Z,202943,3995,13,PT57S
HPRyb6rCuEM,Health plan cheaper than your jeans?,2025-09-19T07:27:53Z,2315153,51238,428,PT59S
Lhc_NfG54PA,India's Health Crisis : How to Fix India's BROKEN healthcare system? | Ex Apollo Reveals Secrets,2025-09-18T15:43:40Z,357700,9372,754,PT1H54M54S
Jgi9zztt758,Shocking reality of Indian Healthcare,2025-09-15T08:30:08Z,51653,1716,28,PT1M49S
VfV1zNJJ2Vg,Best Dictator In History?,2025-09-15T04:10:29Z,30454,936,11,PT46S
4WYJHSeBGOs,Is Navi Mumbai the future of urban living?,2025-09-14T06:30:03Z,128085,3323,27,PT1M2S
jgK_AolUecY,Real estate Strategy for Dream home,2025-09-13T14:27:51Z,105381,2555,10,PT57S
ieyzFXJk4e8,Dictator vs Democracy: The rise of Xi Jinping and China? Explained,2025-09-13T08:30:24Z,632423,17832,1375,PT23M25S
beTuvUzI9f4,Don’t Invest in Mumbai Before This!,2025-09-11T13:42:36Z,97180,1935,13,PT45S
5eGfaoxxzk0,Mumbai Real Estate’s Real Mantra,2025-09-10T14:41:32Z,359761,6501,42,PT56S
jHzYIFM08vQ,Carpet Area vs Super Built-Up Area,2025-09-10T07:03:45Z,847917,14249,75,PT51S
1G7ZTXTVDa0,Top 5 Indian Cities to Invest in 2025,2025-09-08T13:30:05Z,2656275,56417,739,PT1M
3ffs2n76Y3I,India’s Most Expensive Address,2025-09-08T12:30:10Z,707265,14254,240,PT40S
0ieqe41jOEA,The Real TRUTH About E20 Petrol | Full POLICY EXPLAINED,2025-09-07T10:30:02Z,849944,29259,3731,PT17M50S
zGyhqhH1rpQ,Why Skyscrapers Signal Recession?,2025-09-06T12:31:20Z,1541429,31849,268,PT44S
_nBsQAU7ISM,Mumbai’s Next Real Estate Jackpot,2025-09-05T14:24:17Z,747953,14389,64,PT30S
IiLmHwfx6e4,UltraRich Broker Spills secrets on Mumbai Real Estate? | ft. @rk.ravikewalramani Business Podcast,2025-09-05T12:30:33Z,262619,3797,367,PT1H45M46S
ZqIk_TSrsNs,Mumbai Property Pricier Than Manhattan!? Releasing Soon...,2025-09-03T07:30:18Z,112270,3149,31,PT1M34S
tQRjVK8NOiY,Why Work Experience Matters Before MBA,2025-09-01T08:08:05Z,44009,1181,5,PT1M2S
IDFPJSZq8UM,Modi In China : Is India About to Make a HUGE Mistake in China Relations?,2025-08-31T08:30:07Z,858565,28051,2029,PT21M28S
4LcPBesjn74,How To Sell Your Startup Idea,2025-08-30T14:30:07Z,78975,1931,5,PT32S
v38RovZQNdc,Building To Sell? Here’s The Problem,2025-08-30T12:31:24Z,52751,1059,5,PT41S
SDhODTG2FZs,Brands For India 2 & India 3,2025-08-30T11:04:09Z,285271,8839,60,PT59S
3I5nmNZDMQU,The Untapped EdTech Market In India,2025-08-29T10:30:02Z,115076,2642,25,PT52S
7HpJXuGfYIU,Simplest Way To Validate An Idea,2025-08-29T09:26:43Z,114965,2715,11,PT52S
yHbMi0UDgKc,Selling a Startup: Myth vs Reality,2025-08-28T12:31:25Z,241535,6744,23,PT1M10S
kuPYMFHJ8Lw,AI Startups Are Today’s Gold Rush,2025-08-28T10:30:24Z,124234,3142,9,PT47S
KW3TzlGE98I,China’s Lithium Monopoly,2025-08-28T08:50:47Z,524355,13385,118,PT1M9S
LM1ToX-82f8,Indigo vs Emirates: Can Indigo Survive the Oil Titans and go International? : Business case study,2025-08-27T15:01:38Z,833273,19302,967,PT26M48S
LwYpnIy1qBM,Cinema dies without diverse stories,2025-08-25T14:30:12Z,111427,2341,49,PT53S
WhEB8SI51QU,Audience emotions reveal the real problem,2025-08-25T11:00:58Z,321860,4740,21,PT33S
Tt-cSywn1f0,Why Scaler redefines business education,2025-08-22T11:37:00Z,59959,1417,10,PT1M36S
70Bg6fkr9gI,CEO Blueprint : Anupam Mittal's Masterclass on How to Find Gap in the Market?,2025-08-21T15:15:01Z,331658,6658,287,PT1H45M18S
